value,unit,component_inchi_0
27.0,Celcius,InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3
-3.0,Celcius,"InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3"
-8.3,Celcius,"InChI=1S/C4H6O2/c1-3-6-4(2)5/h3H,1H2,2H3"
98.0,Celcius,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2
39.0,Celcius,InChI=1S/C4H6O3/c1-3(5)4(6)7-2/h1-2H3
49.0,Celcius,InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3
17.0,Celcius,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3"
-20.0,Celcius,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+"
-79.0,Celcius,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
-76.0,Celcius,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3"
33.0,Celcius,"InChI=1S/C4H8O/c1-2-3-4-5/h2,5H,1,3-4H2"
27.0,Celcius,"InChI=1S/C4H8O/c1-2-3-4-5/h2-3,5H,4H2,1H3/b3-2+"
-22.0,Celcius,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
-14.5,Celcius,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
20.0,Celcius,"InChI=1S/C4H8O/c1-3-4(2)5/h3-5H,1H2,2H3"
-6.3,Celcius,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
-17.0,Celcius,"InChI=1S/C4H8O/c1-3-5-4-2/h3H,1,4H2,2H3"
-24.0,Celcius,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3"
-29.0,Celcius,"InChI=1S/C4H8O/c1-4(2)5-3/h1H2,2-3H3"
-2.0,Celcius,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
